city,city_ascii,lat,lng,population,isolation_value,zoom_level
Mashhad,Mashhad,36.3264,59.5433,3372090,736.677999477111,3.0
San Francisco,San Francisco,37.7558,-122.4449,3364979,544.0765361052721,3.5
Boankra,Boankra,6.6944,-1.4028,3348000,24.54685030491192,8.0
Dubai,Dubai,25.2631,55.2972,3331420,867.7601393946418,3.0
Anshan,Anshan,41.108,122.994,3325372,85.27842592799364,6.0
Baojishi,Baojishi,34.363,107.238,3321853,135.07905028353437,5.5
Qinzhou,Qinzhou,21.981,108.654,3304400,98.80204215328368,6.0
Guiyang,Guiyang,26.647,106.63,3299724,125.94319444180996,5.5
Bengbu,Bengbu,32.917,117.389,3296408,88.73282495343786,6.0
Bazhou,Bazhou,31.868,106.748,3283148,100.0897165972368,6.0
Suining,Suining,30.533,105.593,3252619,59.95008102555455,6.5
Wuxi,Wuxi,31.491,120.312,3245179,36.088153911467145,7.5
Kotla Qasim Khan,Kotla Qasim Khan,32.5833,73.75,3219375,127.81914446305692,5.5
Hanzhong,Hanzhong,33.0664,107.0232,3211462,135.73401244121322,5.5
Putian,Putian,25.4526,119.0078,3210714,72.46167209546938,6.5
Zhenjiang,Zhenjiang,32.188,119.424,3210418,22.62440267340268,8.0
Guang’an,Guang'an,30.4564,106.6326,3205476,65.47197213561662,6.5
Faisalabad,Faisalabad,31.4167,73.0911,3203846,119.68659765015666,5.5
Changzhi,Changzhi,36.195,113.117,3180884,109.475741541249,5.5
Tongren,Tongren,27.7316,109.1895,3168800,81.98668024942397,6.0
Leshan,Leshan,29.552,103.766,3160168,123.1506600923328,5.5
Santa Cruz de la Sierra,Santa Cruz de la Sierra,-17.7892,-63.1975,3151676,1616.8274112024446,2.0
Qinhuangdao,Qinhuangdao,39.8882,119.5202,3146300,118.62450929654716,5.5
Jaipur,Jaipur,26.9,75.8,3073350,236.54226317658703,4.5
Xinzhou,Xinzhou,38.416,112.734,3067501,62.77238953598141,6.5
Lanzhou,Lanzhou,36.0606,103.8268,3067141,362.8310193581069,4.0
Wuzhou,Wuzhou,23.4767,111.279,3061100,130.27594501165703,5.5
Athens,Athens,37.9842,23.7281,3059764,302.0288043039351,4.0
San Diego,San Diego,32.8313,-117.1222,3046560,185.85432704291844,5.0
Addis Ababa,Addis Ababa,9.03,38.74,3041002,996.3162565416344,3.0
Taichung,Taichung,24.1439,120.6794,3033885,218.39005667190912,5.0
Huainan,Huainan,32.6314,117.0194,3033528,46.93180544356699,7.0
Guatemala City,Guatemala City,14.6133,-90.5353,3014000,1059.333375542696,2.5
Kuwait City,Kuwait City,29.3697,47.9783,3000000,541.2784994788107,3.5
Budapest,Budapest,47.4925,19.0514,2997958,689.0004259427242,3.0
Qincheng,Qincheng,34.5809,105.7311,2984659,140.24430521312317,5.5
Rizhao,Rizhao,35.417,119.527,2968365,95.37592914179572,6.0
Quezon City,Quezon City,14.65,121.0475,2960048,9.671255591950944,9.5
Sanaa,Sanaa,15.3483,44.2064,2957000,869.5103287776692,3.0
Tashkent,Tashkent,41.3111,69.2797,2956384,754.5998285045166,3.0
Kyiv,Kyiv,50.45,30.5233,2952301,755.7510266826617,2.5
Meishan,Meishan,30.0771,103.8484,2950545,58.92722982004778,6.5
Incheon,Incheon,37.4833,126.6333,2936117,32.593470435921176,7.5
Birmingham,Birmingham,52.48,-1.9025,2919600,162.68954643710978,4.5
Ningde,Ningde,26.6662,119.5477,2910000,70.41708782535554,6.5
Zhongshan,Zhongshan,22.517,113.3925,2909633,32.67145748266079,7.5
Weihai,Weihai,37.5133,122.1205,2906548,160.7603636145712,5.0
Bursa,Bursa,40.1833,29.05,2901396,92.67300370200384,6.0
Minneapolis,Minneapolis,44.9635,-93.2678,2892569,569.1053920273165,3.0
Mbuji-Mayi,Mbuji-Mayi,-6.15,23.6,2892000,939.9475205892952,3.0
Haikou,Haikou,20.0186,110.3488,2873358,139.16358725217256,5.5
Tongliao,Tongliao,43.654,122.243,2873168,227.4928497750967,4.5
Chaoyang,Chaoyang,41.571,120.453,2872857,150.28943276365445,5.0
La Paz,La Paz,-16.4958,-68.1333,2867504,543.7892391269071,3.5
Pyongyang,Pyongyang,39.0167,125.7475,2863000,187.22872369528383,5.0
Tampa,Tampa,27.9945,-82.4447,2861173,330.93167322732893,4.0
Shaoguan,Shaoguan,24.811,113.597,2855131,121.5857919730177,5.5
Heyuan,Heyuan,23.7443,114.7002,2837686,125.83318479381607,5.5
Brasília,Brasilia,-15.7939,-47.8828,2817068,620.3155992151543,3.5
Omdurman,Omdurman,15.65,32.4833,2805396,5.840291404464207,10.0
Malang,Malang,-7.98,112.62,2795209,82.66535229115809,6.5
Stuttgart,Stuttgart,48.7775,9.18,2787724,499.827987820606,3.0
Daqing,Daqing,46.589,125.104,2781562,123.88407098976592,5.5
Rome,Rome,41.8933,12.4828,2748109,807.6423949684356,2.5
Brooklyn,Brooklyn,40.6501,-73.9496,2736074,5.3380502251423465,10.0
Kaohsiung,Kaohsiung,22.615,120.2975,2733964,174.4170407881278,5.0
Xiangtan,Xiangtan,27.8313,112.9454,2726181,18.449182300776688,8.5
Longyan,Longyan,25.076,117.017,2723637,89.23794951368181,6.0
Baotou,Baotou,40.6213,109.9532,2709378,153.28966462668956,5.0
Handan,Handan,36.601,114.487,2708015,52.363490874184514,6.5
Jinzhou,Jinzhou,41.129,121.148,2703853,76.0332288647303,6.0
Kanpur,Kanpur,26.4499,80.3319,2701324,75.84628887194957,6.5
Denver,Denver,39.762,-104.8758,2687458,941.48094900247,2.5
Nanping,Nanping,26.6418,118.1774,2680645,128.10974980661638,5.5
Gāzipura,Gazipura,23.9889,90.375,2674697,25.05878156626203,8.0
Shanwei,Shanwei,22.7872,115.3756,2672819,126.83158090831624,5.5
Chaozhou,Chaozhou,23.658,116.622,2656600,28.04992184679141,8.0
Guayaquil,Guayaquil,-2.19,-79.8875,2650288,1003.1347814285996,3.0
Weifang,Weifang,36.708,119.162,2636154,129.63818002533773,5.5
Huai’an,Huai'an,33.551,119.113,2632788,87.7125901322463,6.0
Zibo,Zibo,36.8138,118.055,2631647,63.72917200454689,6.5
Ankang,Ankang,32.6854,109.029,2629906,165.7902108749332,5.0
Mogadishu,Mogadishu,2.0392,45.3419,2610483,1017.338191472944,3.0
Munich,Munich,48.1375,11.575,2606021,190.3996480994096,4.5
Gulou,Gulou,26.0865,119.298,2606000,1.365959093221052,21.0
Taipei,Taipei,25.0375,121.5625,2603150,133.5876522086329,5.5
Bekasi,Bekasi,-6.2349,106.9923,2590257,19.397013328583,8.5
Damascus,Damascus,33.5131,36.2919,2584771,177.05732027628625,5.0
Sanming,Sanming,26.2634,117.6389,2580000,68.14953902234294,6.5
Yangjiang,Yangjiang,21.857,111.983,2555600,111.32640574693484,6.0
Jiamusi,Jiamusi,46.8,130.319,2552097,255.8379908002682,4.0
Luohe,Luohe,33.583,114.0109,2544266,52.15157998864125,7.0
Medellín,Medellin,6.2308,-75.5906,2529403,238.32949359661893,5.0
Dingxi,Dingxi,35.608,104.592,2524097,85.38766209778824,6.0
